#### Starry Messenger Updates

##### In Warp Speed
| Request | Status |
| --- | --- |
| Please change the up, down, left, and right buttons to move the stars and screen up and down the same way trippy mode does when the in Starry Messenger - Processing Example does in the Personal Examples folder. When Trippy Mode is on, the arrow keys make the stars turn a certain way. | Done |
| While the user is in trippy mode and the user presses A, make that motion's velocity continue. Retain the curving from the last origin of it plus the rotation so they all bend and twist by itself. | In Progress |
| How can we make warp speed more efficient? Specifically in Warp speed, the game starts to slow down in frame rate. | Done |
| Make the rotational spinning continue when the A button is pressed, remove the direct manual-rotation crank mode, and let the player jump back and forth between spin control and star speed. | Done |

##### In Falling Stars
| Request | Status |
| --- | --- |
| Please add more stars to the falling stars view as well. And assign left and right buttons to rotate the screen. | Done |
| Please make the star fall stars a few pixels bigger per level, and add a new and double pixel in the background. | Done |
| Please also add a single large circular star that spawns between every 2-20 seconds. | Not Started |
| When auto rotate is on in both star fall and warp speed, allow the crank to turn up and down the speed at the same variable speed rate as the crank when adjusting the star speed. When the crank stops, the speed holds. | Done |
| In Star Fall, when the speed is negative, make the stars and despawn run opposite as well while still respecting rotating-screen behavior. Also make the A-button rotation modes match Warp Speed: direct crank rotation first, then persistent crank-set rotation speed on the next press. | Done |
| Make the rotational spinning continue when the A button is pressed, remove the direct manual-rotation crank mode, and let the player jump back and forth between spin control and star speed. | Done |

##### In Game of Life
| Request | Status |
| --- | --- |
| Please do not reset the game of life scene when moving in from the main menu. Controls would then go to game of life mode. | Done |
| In the game of life, please use the crank to fast forward or rewind the game of life scene. The faster the cranking, the faster the direction. Drop off at the beginning. When the crank is left untouched after a second, resume the game. | Done |
| Make a game of life control for A button that jumps a bunch of pixels into the game to revive it when the player wants. | Done |
| When in the game of life and I scroll forward, the frame rate changes. Can you make it continuously load the upcoming frames into buffer at much as it can without crashing the device. | Done |
| If the player inserts additional pixels into the game of life, the generated bunch need to dump. When the player has caught up to real time, flicker gray the pixels around the screen to make the player stop. They can then go forward when they wish until limit. | Done |
| Please make the game of life have a mode accessible in the main menu with left/right where the positions of each dot are recorded on a CSV so the same play can be recreated later. | Done |

##### Fishy Pond
| Request | Status |
| --- | --- |
